,Unnamed: 0,age,workclass,fnlgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
25915,25915,27,Private,341504,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
7895,7895,30,Private,287908,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K
15028,15028,19,unknown,211553,Some-college,10,Never-married,unknown,Own-child,White,Female,35,United-States,<=50K
15683,15683,43,Private,26915,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
25425,25425,46,Private,319163,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K
761,761,59,Local-gov,420537,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,38,United-States,>50K
30544,30544,20,Private,279538,11th,7,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,35,United-States,<=50K
26514,26514,34,Private,189809,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,52,Jamaica,<=50K
24794,24794,28,unknown,30237,Some-college,10,Never-married,unknown,Unmarried,White,Female,40,United-States,<=50K
14478,14478,38,Private,85244,Bachelors,13,Separated,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
6536,6536,44,Self-emp-not-inc,171424,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,35,United-States,<=50K
16906,16906,26,Private,152240,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K
29914,29914,31,Private,83425,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
16725,16725,36,unknown,28160,HS-grad,9,Divorced,unknown,Not-in-family,White,Female,40,United-States,<=50K
28389,28389,53,Private,95540,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
29984,29984,23,Private,140414,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
22706,22706,17,Local-gov,173497,11th,7,Never-married,Prof-specialty,Own-child,Black,Male,15,United-States,<=50K
12806,12806,47,Private,110243,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
16057,16057,65,unknown,200749,HS-grad,9,Married-civ-spouse,unknown,Husband,White,Male,25,United-States,<=50K
18513,18513,31,Private,174201,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
28765,28765,49,Self-emp-not-inc,343742,10th,6,Never-married,Craft-repair,Not-in-family,Black,Male,32,United-States,<=50K
12910,12910,50,Private,175804,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K
16160,16160,51,Private,257337,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
16245,16245,55,Self-emp-not-inc,349910,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,<=50K
27669,27669,28,Private,261278,Assoc-voc,11,Never-married,Tech-support,Not-in-family,Black,Female,40,United-States,<=50K
29800,29800,32,Private,42617,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,30,United-States,<=50K
16649,16649,38,Local-gov,169104,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,40,Philippines,>50K
18136,18136,44,Private,136986,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K
13430,13430,18,Private,126021,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,20,United-States,<=50K
21201,21201,32,Self-emp-inc,99309,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
10787,10787,40,Private,226585,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,>50K
20522,20522,34,Private,609789,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,30,unknown,<=50K
15408,15408,18,unknown,128538,HS-grad,9,Never-married,unknown,Own-child,White,Female,20,United-States,<=50K
9914,9914,42,Self-emp-not-inc,222978,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,<=50K
20548,20548,33,Private,192002,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,Canada,>50K
2474,2474,29,Self-emp-not-inc,125190,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
26677,26677,22,Private,134746,10th,6,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,<=50K
